Temperature,Humidity,Time
24.30,61,2026-04-27 00:47:23
24.00,61,2026-04-27 00:47:29
24.00,60,2026-04-27 00:47:35
24.00,60,2026-04-27 00:47:41
24.00,60,2026-04-27 00:47:47
24.00,60,2026-04-27 00:47:52
24.00,60,2026-04-27 00:47:58
23.80,60,2026-04-27 00:48:03
23.80,60,2026-04-27 00:48:09
23.80,60,2026-04-27 00:48:15
23.80,60,2026-04-27 00:48:21
23.80,60,2026-04-27 00:48:26
23.60,60,2026-04-27 00:48:32
23.60,60,2026-04-27 00:48:38
23.60,60,2026-04-27 00:48:45
23.60,60,2026-04-27 00:48:51
23.60,60,2026-04-27 00:48:57
23.60,60,2026-04-27 00:49:03
23.60,60,2026-04-27 00:49:08
23.40,60,2026-04-27 00:49:14
23.40,60,2026-04-27 00:49:20
23.40,60,2026-04-27 00:49:26
23.40,60,2026-04-27 00:49:31
23.60,60,2026-04-27 00:49:37
23.60,60,2026-04-27 00:49:43
23.40,60,2026-04-27 00:49:49
23.40,60,2026-04-27 00:49:55
23.40,60,2026-04-27 00:50:00
23.40,61,2026-04-27 00:50:07
23.40,61,2026-04-27 00:50:13
23.40,61,2026-04-27 00:50:19
23.10,61,2026-04-27 00:50:26
22.70,61,2026-04-27 00:50:32
23.10,61,2026-04-27 00:50:38
23.40,62,2026-04-27 00:50:43
23.10,62,2026-04-27 00:50:49
23.10,62,2026-04-27 00:50:55
23.10,62,2026-04-27 00:51:01
23.10,62,2026-04-27 00:51:07
23.10,62,2026-04-27 00:51:12
23.10,63,2026-04-27 00:51:18
23.10,63,2026-04-27 00:51:24
23.10,63,2026-04-27 00:51:30
23.10,63,2026-04-27 00:51:36
23.10,63,2026-04-27 00:51:42
23.10,63,2026-04-27 00:51:47
23.10,63,2026-04-27 00:51:53
23.10,63,2026-04-27 00:51:59
23.10,63,2026-04-27 00:52:05
23.10,63,2026-04-27 00:52:11
23.10,64,2026-04-27 00:52:16
23.10,64,2026-04-27 00:52:22
23.10,64,2026-04-27 00:52:28
23.10,64,2026-04-27 00:52:34
23.10,64,2026-04-27 00:52:40
23.10,64,2026-04-27 00:52:45
23.10,64,2026-04-27 00:52:51
23.10,64,2026-04-27 00:52:57
23.10,64,2026-04-27 00:53:03
23.10,64,2026-04-27 00:53:09
23.10,63,2026-04-27 00:53:15
23.10,63,2026-04-27 00:53:20
23.10,63,2026-04-27 00:53:28
22.70,63,2026-04-27 00:53:34
23.10,63,2026-04-27 00:53:39
23.10,63,2026-04-27 00:53:45
23.10,63,2026-04-27 00:53:51
23.10,63,2026-04-27 00:53:57
23.10,63,2026-04-27 00:54:03
23.10,63,2026-04-27 00:54:09
23.10,63,2026-04-27 00:54:14
23.10,63,2026-04-27 00:54:21
23.10,63,2026-04-27 00:54:26
23.10,63,2026-04-27 00:54:34
23.10,63,2026-04-27 00:54:40
23.10,63,2026-04-27 00:54:46
23.40,63,2026-04-27 00:54:52
23.10,63,2026-04-27 00:54:57
23.40,63,2026-04-27 00:55:03
23.40,63,2026-04-27 00:55:09
23.40,63,2026-04-27 00:55:15
23.40,65,2026-04-27 00:55:21
23.40,65,2026-04-27 00:55:27
23.40,64,2026-04-27 00:55:33
23.40,64,2026-04-27 00:55:38
23.40,64,2026-04-27 00:55:44
23.40,64,2026-04-27 00:55:50
23.40,64,2026-04-27 00:55:56
23.40,64,2026-04-27 00:56:02
23.40,64,2026-04-27 00:56:07
23.40,64,2026-04-27 00:56:13
23.40,64,2026-04-27 00:56:22
23.40,64,2026-04-27 00:56:27
23.40,64,2026-04-27 00:56:33
23.10,64,2026-04-27 00:56:39
23.40,64,2026-04-27 00:56:45
23.40,64,2026-04-27 00:56:52
23.40,64,2026-04-27 00:56:57
23.40,64,2026-04-27 00:57:03
23.40,64,2026-04-27 00:57:09
23.40,64,2026-04-27 00:57:15
23.40,64,2026-04-27 00:57:20
23.10,64,2026-04-27 00:57:27
23.10,64,2026-04-27 00:57:32
23.10,64,2026-04-27 00:57:38
23.10,64,2026-04-27 00:57:44
23.10,64,2026-04-27 00:57:50
23.10,64,2026-04-27 00:57:55
23.10,63,2026-04-27 00:58:01
23.10,63,2026-04-27 00:58:07
23.10,63,2026-04-27 00:58:13
22.70,63,2026-04-27 00:58:19
23.40,63,2026-04-27 00:58:25
23.10,63,2026-04-27 00:58:31
23.10,63,2026-04-27 00:58:36
22.70,63,2026-04-27 00:58:42
23.10,63,2026-04-27 00:58:48
23.10,63,2026-04-27 00:58:54
23.10,63,2026-04-27 00:59:02
23.10,63,2026-04-27 00:59:07
23.10,63,2026-04-27 00:59:13
23.10,63,2026-04-27 00:59:19
23.10,63,2026-04-27 00:59:25
23.10,63,2026-04-27 00:59:31
23.10,63,2026-04-27 00:59:36
22.70,63,2026-04-27 00:59:42
23.10,63,2026-04-27 00:59:48
23.10,63,2026-04-27 00:59:54
23.10,63,2026-04-27 00:59:59
23.10,63,2026-04-27 01:00:06
23.10,63,2026-04-27 01:00:12
23.10,63,2026-04-27 01:00:17
23.10,63,2026-04-27 01:00:23
23.10,63,2026-04-27 01:00:29
23.10,63,2026-04-27 01:00:36
23.10,63,2026-04-27 01:00:41
23.10,63,2026-04-27 01:00:47
22.70,63,2026-04-27 01:00:53
22.70,63,2026-04-27 01:00:59
23.10,63,2026-04-27 01:01:04
23.10,63,2026-04-27 01:01:10
22.70,63,2026-04-27 01:01:16
23.10,63,2026-04-27 01:01:21
22.70,63,2026-04-27 01:01:27
22.70,63,2026-04-27 01:01:33
22.70,63,2026-04-27 01:01:39
22.70,63,2026-04-27 01:01:44
22.70,63,2026-04-27 01:01:50
22.70,63,2026-04-27 01:01:56
22.70,63,2026-04-27 01:02:02
22.70,63,2026-04-27 01:02:08
22.70,63,2026-04-27 01:02:14
22.70,63,2026-04-27 01:02:19
22.70,63,2026-04-27 01:02:25
22.70,63,2026-04-27 01:02:31
22.70,63,2026-04-27 01:02:37
22.70,63,2026-04-27 01:02:42
22.70,63,2026-04-27 01:02:47
22.70,63,2026-04-27 01:02:53
22.70,63,2026-04-27 01:02:59
22.70,63,2026-04-27 01:03:05
22.70,63,2026-04-27 01:03:10
22.70,63,2026-04-27 01:03:17
22.70,63,2026-04-27 01:03:23
22.70,63,2026-04-27 01:03:28
22.70,63,2026-04-27 01:03:34
22.70,63,2026-04-27 01:03:40
22.70,63,2026-04-27 01:03:46
22.70,63,2026-04-27 01:03:51
22.70,63,2026-04-27 01:03:57
22.70,63,2026-04-27 01:04:03
22.70,63,2026-04-27 01:04:08
22.70,63,2026-04-27 01:04:14
22.70,63,2026-04-27 01:04:20
22.70,63,2026-04-27 01:04:26
22.70,63,2026-04-27 01:04:31
22.70,63,2026-04-27 01:04:37
22.70,63,2026-04-27 01:04:43
22.70,63,2026-04-27 01:04:50
22.70,63,2026-04-27 01:04:55
22.70,63,2026-04-27 01:05:01
22.70,63,2026-04-27 01:05:07
22.70,63,2026-04-27 01:05:12
22.70,63,2026-04-27 01:05:18
22.70,63,2026-04-27 01:05:24
22.70,63,2026-04-27 01:05:30
22.70,63,2026-04-27 01:05:35
22.70,63,2026-04-27 01:05:41
22.70,63,2026-04-27 01:05:47
22.70,63,2026-04-27 01:05:53
22.70,62,2026-04-27 01:05:58
22.70,63,2026-04-27 01:06:04
22.70,63,2026-04-27 01:06:10
22.70,63,2026-04-27 01:06:16
22.70,62,2026-04-27 01:06:21
22.70,62,2026-04-27 01:06:27
22.50,62,2026-04-27 01:06:34
22.70,62,2026-04-27 01:06:39
22.50,62,2026-04-27 01:06:45
22.70,62,2026-04-27 01:06:51
22.50,62,2026-04-27 01:06:58
22.50,62,2026-04-27 01:07:04
22.50,62,2026-04-27 01:07:09
22.50,62,2026-04-27 01:07:15
22.50,62,2026-04-27 01:07:21
22.50,62,2026-04-27 01:07:27
22.50,62,2026-04-27 01:07:32
22.50,62,2026-04-27 01:07:38
22.50,62,2026-04-27 01:07:44
22.50,62,2026-04-27 01:07:50
22.50,62,2026-04-27 01:07:55
22.50,62,2026-04-27 01:08:01
22.50,62,2026-04-27 01:08:07
22.50,62,2026-04-27 01:08:12
22.50,62,2026-04-27 01:08:18
22.50,62,2026-04-27 01:08:24
22.50,62,2026-04-27 01:08:30
22.50,62,2026-04-27 01:08:35
22.50,62,2026-04-27 01:08:41
22.50,62,2026-04-27 01:08:47
22.50,62,2026-04-27 01:08:53
22.50,62,2026-04-27 01:08:58
22.50,62,2026-04-27 01:09:04
22.50,62,2026-04-27 01:09:11
22.50,62,2026-04-27 01:09:16
22.50,62,2026-04-27 01:09:22
22.50,62,2026-04-27 01:09:28
22.50,62,2026-04-27 01:09:34
22.50,62,2026-04-27 01:09:39
22.50,62,2026-04-27 01:09:48
22.50,62,2026-04-27 01:09:53
22.50,62,2026-04-27 01:09:59
22.50,62,2026-04-27 01:10:05
22.50,62,2026-04-27 01:10:11
22.50,62,2026-04-27 01:10:16
22.50,62,2026-04-27 01:10:22
22.50,62,2026-04-27 01:10:28
22.50,62,2026-04-27 01:10:34
22.50,62,2026-04-27 01:10:39
22.50,62,2026-04-27 01:10:47
22.50,62,2026-04-27 01:10:52
22.50,62,2026-04-27 01:10:58
22.50,62,2026-04-27 01:11:04
22.50,62,2026-04-27 01:11:09
22.50,62,2026-04-27 01:11:15
22.50,62,2026-04-27 01:11:20
22.50,62,2026-04-27 01:11:26
22.50,62,2026-04-27 01:11:32
22.50,62,2026-04-27 01:11:38
22.50,62,2026-04-27 01:11:43
22.50,62,2026-04-27 01:11:49
22.50,62,2026-04-27 01:11:55
22.50,62,2026-04-27 01:12:00
22.50,62,2026-04-27 01:12:06
22.50,62,2026-04-27 01:12:12
22.50,62,2026-04-27 01:12:19
22.50,62,2026-04-27 01:12:24
22.20,62,2026-04-27 01:12:30
22.50,62,2026-04-27 01:12:36
22.50,62,2026-04-27 01:12:41
22.50,62,2026-04-27 01:12:47
22.50,62,2026-04-27 01:12:53
22.50,62,2026-04-27 01:12:59
22.20,62,2026-04-27 01:13:06
22.50,61,2026-04-27 01:13:12
22.50,61,2026-04-27 01:13:18
22.20,62,2026-04-27 01:13:23
22.20,62,2026-04-27 01:13:28
22.50,61,2026-04-27 01:13:34
22.20,61,2026-04-27 01:13:40
22.50,61,2026-04-27 01:13:45
22.50,61,2026-04-27 01:13:51
22.50,61,2026-04-27 01:13:57
22.20,61,2026-04-27 01:14:03
22.50,61,2026-04-27 01:14:08
22.20,61,2026-04-27 01:14:14
22.20,61,2026-04-27 01:14:20
22.20,61,2026-04-27 01:14:26
22.20,61,2026-04-27 01:14:31
22.20,61,2026-04-27 01:14:37
22.20,61,2026-04-27 01:14:43
22.20,61,2026-04-27 01:14:48
22.50,61,2026-04-27 01:14:54
22.20,61,2026-04-27 01:15:00
22.20,61,2026-04-27 01:15:06
22.20,62,2026-04-27 01:15:11
22.50,62,2026-04-27 01:15:17
22.20,62,2026-04-27 01:15:23
22.20,62,2026-04-27 01:15:29
22.20,62,2026-04-27 01:15:34
22.20,62,2026-04-27 01:15:40
22.20,61,2026-04-27 01:15:46
22.20,62,2026-04-27 01:15:51
22.20,62,2026-04-27 01:15:57
22.20,62,2026-04-27 01:16:03
22.50,62,2026-04-27 01:16:09
22.20,62,2026-04-27 01:16:15
22.20,61,2026-04-27 01:16:21
22.20,61,2026-04-27 01:16:27
22.50,61,2026-04-27 01:16:33
22.20,61,2026-04-27 01:16:38
22.20,61,2026-04-27 01:16:44
22.20,61,2026-04-27 01:16:50
22.20,61,2026-04-27 01:16:56
22.20,61,2026-04-27 01:17:01
22.20,61,2026-04-27 01:17:07
22.20,61,2026-04-27 01:17:13
22.50,61,2026-04-27 01:17:19
22.20,61,2026-04-27 01:17:24
22.20,61,2026-04-27 01:17:30
22.50,61,2026-04-27 01:17:37
22.20,61,2026-04-27 01:17:42
22.50,61,2026-04-27 01:17:48
22.50,61,2026-04-27 01:17:54
22.50,61,2026-04-27 01:18:00
22.20,61,2026-04-27 01:18:05
22.50,61,2026-04-27 01:18:13
22.20,61,2026-04-27 01:18:19
22.20,61,2026-04-27 01:18:25
22.20,61,2026-04-27 01:18:31
22.20,61,2026-04-27 01:18:36
22.20,61,2026-04-27 01:18:42
22.20,61,2026-04-27 01:18:47
22.20,61,2026-04-27 01:18:53
22.20,61,2026-04-27 01:18:59
22.20,61,2026-04-27 01:19:05
22.20,61,2026-04-27 01:19:10
22.20,61,2026-04-27 01:19:18
22.20,61,2026-04-27 01:19:24
22.20,61,2026-04-27 01:19:30
22.20,61,2026-04-27 01:19:36
22.20,61,2026-04-27 01:19:43
22.20,61,2026-04-27 01:19:48
22.20,61,2026-04-27 01:19:54
22.20,61,2026-04-27 01:20:00
22.20,61,2026-04-27 01:20:05
22.20,61,2026-04-27 01:20:11
22.20,61,2026-04-27 01:20:17
22.20,61,2026-04-27 01:20:23
22.20,61,2026-04-27 01:20:29
